business_id,categories,name,photo_url,review_count,schools,stars,state,url
Iu-oeVzv8ZgP18NIB0UMqg,"Medical Centers,Health and Medical",Southern California Medical Group,http://s3-media1.ak.yelpcdn.com/bphoto/SdUWxREuWuPvvot6faxfXg/ms.jpg,2,University of Southern California,3.5,CA,http://www.yelp.com/biz/southern-california-medical-group-los-angeles
ae5tm46-ewAhUJ6HR4fXFA,"Massage,Beauty and Spas",Harvard Square Shiatsu,http://s3-media1.ak.yelpcdn.com/bphoto/IGjhD4m7mexe7N06OX9DcA/ms.jpg,4,"Massachusetts Institute of Technology,Harvard University",4,MA,http://www.yelp.com/biz/harvard-square-shiatsu-cambridge
lb9qELwduFgBo408x2VKOA,"Tattoo,Beauty and Spas",Faith & Glory Collective,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,2,University of Waterloo,4,ON,http://www.yelp.ca/biz/faith-and-glory-collective-kitchener
HPWmjuivv3xJ279qSVfNaQ,"Music & DVDs,Books, Mags, Music and Video,Shopping",Von's Records & Posters,http://s3-media4.ak.yelpcdn.com/bphoto/tsa18S_FfPGq57sMCm37eQ/ms.jpg,3,Purdue University,3.5,IN,http://www.yelp.com/biz/vons-records-and-posters-west-lafayette
DARh6yjrGGVZ7R3Gdh4CMA,"Food,Coffee & Tea",JP's Java,http://s3-media1.ak.yelpcdn.com/bphoto/7Iv_opbr0RfO_DB-QKoe0g/ms.jpg,85,University of Texas - Austin,3.5,TX,http://www.yelp.com/biz/jps-java-austin
ZKcVHVlD-kwmXFlnPzxpMg,"Property Management,Home Services,Real Estate",Cooper Brown Real Estate,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,4,Georgia Institute of Technology,3.5,GA,http://www.yelp.com/biz/cooper-brown-real-estate-atlanta
HIPGr2gSEN4T73tjz47hpw,"Pubs,Bars,American (Traditional),Nightlife,Restaurants",Winberie's Restaurant & Bar,http://s3-media1.ak.yelpcdn.com/bphoto/8yGJtkNAqqfG00bInsHFNA/ms.jpg,77,Princeton University,3.5,NJ,http://www.yelp.com/biz/winberies-restaurant-and-bar-princeton
A_Fm4v2-gQuGBBI-GBx4Uw,"Pizza,Restaurants",Joe's Tavern,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,2,Rensselaer Polytechnic Institute,4,NY,http://www.yelp.com/biz/joes-tavern-cohoes
#NAME?,"Food,Coffee & Tea",Starbucks,http://s3-media1.ak.yelpcdn.com/bphoto/F6nhU8jSBLh3XEbMYphpmA/ms.jpg,4,University of Pennsylvania,3,PA,http://www.yelp.com/biz/starbucks-philadelphia-8
L5ABFgTmN-T-uZjuGpoi3Q,"Food,Specialty Food,Health Markets",Vitamin Shoppe,http://s3-media3.ak.yelpcdn.com/bphoto/ByAD70NTByglzKh9Gny5Og/ms.jpg,2,Rice University,5,TX,http://www.yelp.com/biz/vitamin-shoppe-houston-3
M1pXCGikSigFib_ZZzKMnA,"Event Planning & Services,Party & Event Planning",Parties Over Boston,http://s3-media2.ak.yelpcdn.com/bphoto/iZ9u6B-I4T4q3n2FBk37dA/ms.jpg,2,"Massachusetts Institute of Technology,Harvard University",5,MA,http://www.yelp.com/biz/parties-over-boston-boston-2
